MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
CHEVROLET,TRAX AWD 4DR SUV,23,454,182,156,270,N/A,126,164,35,84,100,95,89,156,158,N/A
CHEVROLET,TRAX FWD 4DR SUV,23,454,182,156,270,N/A,126,164,35,84,100,95,89,156,158,N/A
DODGE,HORNET GT 4DR SUV,23,453,184,162,264,1600,119,145,36,86,109,95,94,158,157,52/48
DODGE,HORNET R/T PHEV 4DR SUV,23,453,184,162,264,1875,119,145,36,86,109,95,94,158,157,52/48
FERRARI,296GTS,23,456,196,119,260,1540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,166,163,41/59
FERRARI,DAYTONA SP3,23,469,205,114,265,1485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169,163,44/56
FERRARI,PUROSANGQUE 4DR SUV,23,497,203,159,302,2033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,174,172,49/51
FORD,ESCAPE 4DR SUV 1.5L AWD,23,459,188,168,271,1551,122,156,42,86,115,96,92,159,157,58/42
FORD,ESCAPE 4DR SUV 1.5L FWD,23,459,188,168,271,1489,122,156,42,86,115,96,92,159,157,59/41
FORD,ESCAPE 4DR SUV 2.0L AWD,23,459,188,168,271,1607,122,156,42,86,115,96,92,159,157,58/42
FORD,ESCAPE 4DR SUV 2.5L HYBRID AWD,23,459,188,168,271,1771,122,156,42,86,115,96,92,159,157,58/42
FORD,ESCAPE 4DR SUV 2.5L HYBRID FWD,23,459,188,168,271,1596,122,156,42,86,115,96,92,159,157,59/41
FORD,ESCAPE 4DR SUV 2.5L PHEV AWD,23,459,188,168,271,1671,122,156,42,86,115,96,92,159,157,58/42
FORD,F-250 SD P/U CREW CAB L/BOX,23,670,203,201,447,2841,134,385,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U CREW CAB S/BOX,23,629,203,201,406,2740,134,344,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U CREW CAB S/BOX 4X4,23,629,203,207,406,2901,134,344,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U REG CAB L/BOX,23,583,203,201,359,2584,134,298,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U REG CAB L/BOX 4X4,23,583,203,207,359,2789,134,298,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U SUPERCAB L/BOX,23,640,203,201,417,2769,134,355,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U SUPERCAB L/BOX 4x4,23,640,203,207,417,2950,134,355,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U SUPERCAB S/BOX,23,599,203,201,375,2719,134,314,48,96,140,97,126,177,171,N/A
FORD,F-250 SD P/U SUPERCAB S/BOX 4X4,23,599,203,207,376,2910,134,314,48,96,140,97,126,177,171,N/A
FORD,F-350 SD P/U CREW CAB L/BOX,23,670,203,200,447,2937,134,385,48,96,140,97,126,177,171,N/A
FORD,F-350 SD P/U CREW CAB L/BOX DRW,23,670,203,201,447,3123,134,385,48,96,140,97,126,177,188,N/A
